location,truth_date,year_week,value
BE,2024-09-29,2024-W39,1211.5
BG,2024-09-29,2024-W39,524.3
DE,2024-09-29,2024-W39,1477.9
LT,2024-09-29,2024-W39,1078.5
LU,2024-09-29,2024-W39,15700.0
SI,2024-09-29,2024-W39,1817.1
ES,2024-09-29,2024-W39,504.2
