target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2024-12-11,2024-12-08,0.01,1,quantile,1077.78296374862
ILI incidence,AT,2024-12-11,2024-12-08,0.025,1,quantile,1141.40462941214
ILI incidence,AT,2024-12-11,2024-12-08,0.05,1,quantile,1221.40698872943
ILI incidence,AT,2024-12-11,2024-12-08,0.1,1,quantile,1343.41269227773
ILI incidence,AT,2024-12-11,2024-12-08,0.15,1,quantile,1425.81747541823
ILI incidence,AT,2024-12-11,2024-12-08,0.2,1,quantile,1499.35857203436
ILI incidence,AT,2024-12-11,2024-12-08,0.25,1,quantile,1554.59715901406
ILI incidence,AT,2024-12-11,2024-12-08,0.3,1,quantile,1599.90674993112
ILI incidence,AT,2024-12-11,2024-12-08,0.35,1,quantile,1663.74334618103
ILI incidence,AT,2024-12-11,2024-12-08,0.4,1,quantile,1732.48163407271
ILI incidence,AT,2024-12-11,2024-12-08,0.45,1,quantile,1796.1804576119
ILI incidence,AT,2024-12-11,2024-12-08,0.5,1,quantile,1866.5627077779
ILI incidence,AT,2024-12-11,2024-12-08,0.55,1,quantile,1916.02590427153
ILI incidence,AT,2024-12-11,2024-12-08,0.6,1,quantile,1972.65402791385
ILI incidence,AT,2024-12-11,2024-12-08,0.65,1,quantile,2034.51445705802
ILI incidence,AT,2024-12-11,2024-12-08,0.7,1,quantile,2101.33310726655
ILI incidence,AT,2024-12-11,2024-12-08,0.75,1,quantile,2178.5235023516
ILI incidence,AT,2024-12-11,2024-12-08,0.8,1,quantile,2242.95945369017
ILI incidence,AT,2024-12-11,2024-12-08,0.85,1,quantile,2329.04651992314
ILI incidence,AT,2024-12-11,2024-12-08,0.9,1,quantile,2462.81767109755
ILI incidence,AT,2024-12-11,2024-12-08,0.95,1,quantile,2687.37760207672
ILI incidence,AT,2024-12-11,2024-12-08,0.975,1,quantile,2840.27623053184
ILI incidence,AT,2024-12-11,2024-12-08,0.99,1,quantile,3056.822764404
ILI incidence,AT,2024-12-11,2024-12-15,0.01,2,quantile,714.732893382672
ILI incidence,AT,2024-12-11,2024-12-15,0.025,2,quantile,814.474968081916
ILI incidence,AT,2024-12-11,2024-12-15,0.05,2,quantile,921.156157422559
ILI incidence,AT,2024-12-11,2024-12-15,0.1,2,quantile,1053.47513730649
ILI incidence,AT,2024-12-11,2024-12-15,0.15,2,quantile,1143.27522904417
ILI incidence,AT,2024-12-11,2024-12-15,0.2,2,quantile,1214.92484383265
ILI incidence,AT,2024-12-11,2024-12-15,0.25,2,quantile,1293.53631485936
ILI incidence,AT,2024-12-11,2024-12-15,0.3,2,quantile,1385.15262094406
ILI incidence,AT,2024-12-11,2024-12-15,0.35,2,quantile,1449.66787792364
ILI incidence,AT,2024-12-11,2024-12-15,0.4,2,quantile,1531.21090134648
ILI incidence,AT,2024-12-11,2024-12-15,0.45,2,quantile,1605.17839026661
ILI incidence,AT,2024-12-11,2024-12-15,0.5,2,quantile,1665.83664397983
ILI incidence,AT,2024-12-11,2024-12-15,0.55,2,quantile,1760.17450358273
ILI incidence,AT,2024-12-11,2024-12-15,0.6,2,quantile,1821.14106282765
ILI incidence,AT,2024-12-11,2024-12-15,0.65,2,quantile,1896.88746425737
ILI incidence,AT,2024-12-11,2024-12-15,0.7,2,quantile,1993.74822178476
ILI incidence,AT,2024-12-11,2024-12-15,0.75,2,quantile,2081.34456930695
ILI incidence,AT,2024-12-11,2024-12-15,0.8,2,quantile,2202.00333176857
ILI incidence,AT,2024-12-11,2024-12-15,0.85,2,quantile,2332.97731051907
ILI incidence,AT,2024-12-11,2024-12-15,0.9,2,quantile,2553.3520385373
ILI incidence,AT,2024-12-11,2024-12-15,0.95,2,quantile,2888.19543982347
ILI incidence,AT,2024-12-11,2024-12-15,0.975,2,quantile,3234.79437563869
ILI incidence,AT,2024-12-11,2024-12-15,0.99,2,quantile,3495.40905792616
ILI incidence,AT,2024-12-11,2024-12-22,0.01,3,quantile,456.884559910715
ILI incidence,AT,2024-12-11,2024-12-22,0.025,3,quantile,557.809888257007
ILI incidence,AT,2024-12-11,2024-12-22,0.05,3,quantile,649.117624339376
ILI incidence,AT,2024-12-11,2024-12-22,0.1,3,quantile,767.671391374302
ILI incidence,AT,2024-12-11,2024-12-22,0.15,3,quantile,861.219162222483
ILI incidence,AT,2024-12-11,2024-12-22,0.2,3,quantile,958.419447769297
ILI incidence,AT,2024-12-11,2024-12-22,0.25,3,quantile,1064.96829638504
ILI incidence,AT,2024-12-11,2024-12-22,0.3,3,quantile,1134.24601444768
