target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2024-11-13,2024-11-10,0.01,1,quantile,578.731303415381
ILI incidence,AT,2024-11-13,2024-11-10,0.025,1,quantile,717.825283930671
ILI incidence,AT,2024-11-13,2024-11-10,0.05,1,quantile,808.957141193248
ILI incidence,AT,2024-11-13,2024-11-10,0.1,1,quantile,996.2063533624
ILI incidence,AT,2024-11-13,2024-11-10,0.15,1,quantile,1085.97901220793
ILI incidence,AT,2024-11-13,2024-11-10,0.2,1,quantile,1154.67570717512
ILI incidence,AT,2024-11-13,2024-11-10,0.25,1,quantile,1241.13753392845
ILI incidence,AT,2024-11-13,2024-11-10,0.3,1,quantile,1319.50506849211
ILI incidence,AT,2024-11-13,2024-11-10,0.35,1,quantile,1411.97151021988
ILI incidence,AT,2024-11-13,2024-11-10,0.4,1,quantile,1482.74739858713
ILI incidence,AT,2024-11-13,2024-11-10,0.45,1,quantile,1553.79766861711
ILI incidence,AT,2024-11-13,2024-11-10,0.5,1,quantile,1633.37991430573
ILI incidence,AT,2024-11-13,2024-11-10,0.55,1,quantile,1707.60759462785
ILI incidence,AT,2024-11-13,2024-11-10,0.6,1,quantile,1786.45425490486
ILI incidence,AT,2024-11-13,2024-11-10,0.65,1,quantile,1874.74149837721
ILI incidence,AT,2024-11-13,2024-11-10,0.7,1,quantile,1968.59869229404
ILI incidence,AT,2024-11-13,2024-11-10,0.75,1,quantile,2069.27027038095
ILI incidence,AT,2024-11-13,2024-11-10,0.8,1,quantile,2219.20281116752
ILI incidence,AT,2024-11-13,2024-11-10,0.85,1,quantile,2357.53889835937
ILI incidence,AT,2024-11-13,2024-11-10,0.9,1,quantile,2498.04865221322
ILI incidence,AT,2024-11-13,2024-11-10,0.95,1,quantile,2790.68020868254
ILI incidence,AT,2024-11-13,2024-11-10,0.975,1,quantile,3158.48994229888
ILI incidence,AT,2024-11-13,2024-11-10,0.99,1,quantile,3428.1843039278
ILI incidence,AT,2024-11-13,2024-11-17,0.01,2,quantile,429.474528687576
ILI incidence,AT,2024-11-13,2024-11-17,0.025,2,quantile,510.711358534791
ILI incidence,AT,2024-11-13,2024-11-17,0.05,2,quantile,598.922546178794
ILI incidence,AT,2024-11-13,2024-11-17,0.1,2,quantile,727.051885081996
ILI incidence,AT,2024-11-13,2024-11-17,0.15,2,quantile,813.922958624672
ILI incidence,AT,2024-11-13,2024-11-17,0.2,2,quantile,917.030237917122
ILI incidence,AT,2024-11-13,2024-11-17,0.25,2,quantile,996.529220539076
ILI incidence,AT,2024-11-13,2024-11-17,0.3,2,quantile,1065.64366463295
ILI incidence,AT,2024-11-13,2024-11-17,0.35,2,quantile,1146.92706146508
ILI incidence,AT,2024-11-13,2024-11-17,0.4,2,quantile,1224.79212299126
ILI incidence,AT,2024-11-13,2024-11-17,0.45,2,quantile,1325.86117397758
ILI incidence,AT,2024-11-13,2024-11-17,0.5,2,quantile,1395.76375100279
ILI incidence,AT,2024-11-13,2024-11-17,0.55,2,quantile,1495.98198366789
ILI incidence,AT,2024-11-13,2024-11-17,0.6,2,quantile,1590.40476288789
ILI incidence,AT,2024-11-13,2024-11-17,0.65,2,quantile,1684.54945809507
ILI incidence,AT,2024-11-13,2024-11-17,0.7,2,quantile,1797.96789515127
ILI incidence,AT,2024-11-13,2024-11-17,0.75,2,quantile,1888.81826013018
ILI incidence,AT,2024-11-13,2024-11-17,0.8,2,quantile,2008.40956954971
ILI incidence,AT,2024-11-13,2024-11-17,0.85,2,quantile,2208.88072165173
ILI incidence,AT,2024-11-13,2024-11-17,0.9,2,quantile,2404.68239142671
ILI incidence,AT,2024-11-13,2024-11-17,0.95,2,quantile,2765.45379117791
ILI incidence,AT,2024-11-13,2024-11-17,0.975,2,quantile,3073.3408753494
ILI incidence,AT,2024-11-13,2024-11-17,0.99,2,quantile,3494.35000547851
ILI incidence,AT,2024-11-13,2024-11-24,0.01,3,quantile,254.673095645323
ILI incidence,AT,2024-11-13,2024-11-24,0.025,3,quantile,368.595845741088
ILI incidence,AT,2024-11-13,2024-11-24,0.05,3,quantile,434.964169767283
ILI incidence,AT,2024-11-13,2024-11-24,0.1,3,quantile,539.346178849304
ILI incidence,AT,2024-11-13,2024-11-24,0.15,3,quantile,642.506613325432
ILI incidence,AT,2024-11-13,2024-11-24,0.2,3,quantile,711.994643022878
ILI incidence,AT,2024-11-13,2024-11-24,0.25,3,quantile,810.668057316592
ILI incidence,AT,2024-11-13,2024-11-24,0.3,3,quantile,874.09692141348
ILI incidence,AT,2024-11-13,2024-11-24,0.35,3,quantile,949.981699780819
ILI incidence,AT,2024-11-13,2024-11-24,0.4,3,quantile,1025.22864105447
ILI incidence,AT,2024-11-13,2024-11-24,0.45,3,quantile,1120.16673293406
ILI incidence,AT,2024-11-13,2024-11-24,0.5,3,quantile,1206.26543911603
ILI incidence,AT,2024-11-13,2024-11-24,0.55,3,quantile,1305.84842534086
ILI incidence,AT,2024-11-13,2024-11-24,0.6,3,quantile,1410.5053227051
ILI incidence,AT,2024-11-13,2024-11-24,0.65,3,quantile,1511.77720044501
ILI incidence,AT,2024-11-13,2024-11-24,0.7,3,quantile,1628.26560574391
ILI incidence,AT,2024-11-13,2024-11-24,0.75,3,quantile,1763.34954811172
ILI incidence,AT,2024-11-13,2024-11-24,0.8,3,quantile,1903.84070098267
ILI incidence,AT,2024-11-13,2024-11-24,0.85,3,quantile,2100.40751098873
ILI incidence,AT,2024-11-13,2024-11-24,0.9,3,quantile,2311.51179706127
ILI incidence,AT,2024-11-13,2024-11-24,0.95,3,quantile,2746.07801188538
ILI incidence,AT,2024-11-13,2024-11-24,0.975,3,quantile,3123.95937445334
ILI incidence,AT,2024-11-13,2024-11-24,0.99,3,quantile,3910.64777327174
ILI incidence,AT,2024-11-13,2024-12-01,0.01,4,quantile,156.535072952871
ILI incidence,AT,2024-11-13,2024-12-01,0.025,4,quantile,221.791541179294
ILI incidence,AT,2024-11-13,2024-12-01,0.05,4,quantile,306.822534176961
ILI incidence,AT,2024-11-13,2024-12-01,0.1,4,quantile,402.91653000186
ILI incidence,AT,2024-11-13,2024-12-01,0.15,4,quantile,478.002851114229
