origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.010,264.9000000000001
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.025,1826.7000000000003
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.050,1889.8000000000002
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.100,2161.2
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.150,2300.1
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.200,2416.0
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.250,2467.7000000000003
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.300,2527.1000000000004
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.350,2693.0
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.400,2787.3
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.450,2830.0
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.500,2850.8
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.550,2871.6000000000004
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.600,2914.3
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.650,3008.6000000000004
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.700,3174.5
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.750,3233.9
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.800,3289.3
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.850,3414.6
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.900,3540.4000000000005
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.950,3811.8
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.975,3874.9
2024-12-04,ILI incidence,1,2024-12-01,AT,quantile,0.990,5436.700000000001
2024-12-04,ILI incidence,1,2024-12-01,AT,median,,2850.8
2024-12-04,ILI incidence,2,2024-12-08,AT,quantile,0.010,82.80000000000018
2024-12-04,ILI incidence,2,2024-12-08,AT,quantile,0.025,699.7000000000003
2024-12-04,ILI incidence,2,2024-12-08,AT,quantile,0.050,1417.4999999999998
2024-12-04,ILI incidence,2,2024-12-08,AT,quantile,0.100,1837.5
2024-12-04,ILI incidence,2,2024-12-08,AT,quantile,0.150,2008.8000000000002
2024-12-04,ILI incidence,2,2024-12-08,AT,quantile,0.200,2224.2200000000007
2024-12-04,ILI incidence,2,2024-12-08,AT,quantile,0.250,2334.5000000000005
2024-12-04,ILI incidence,2,2024-12-08,AT,quantile,0.300,2441.8
2024-12-04,ILI incidence,2,2024-12-08,AT,quantile,0.350,2535.4000000000005
2024-12-04,ILI incidence,2,2024-12-08,AT,quantile,0.400,2671.8
2024-12-04,ILI incidence,2,2024-12-08,AT,quantile,0.450,2790.7000000000003
