origin_date,target,target_end_date,horizon,location,team_id,model_id,metric,value_absolute,value_relative,n_models,rank,rank_score
2024-10-23,ILI incidence,2024-10-20,1,AT,ECDC,SARIMA,WIS,328.856452039988,-0.14395825585488572,10,3,0.8821534790717733
2024-10-23,ILI incidence,2024-10-20,1,AT,ItaLuxColab,EpiEKF,WIS,164.33842175306,0.8568299030088936,10,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,AT,ItaLuxColab,EpiNetEKF,WIS,376.027352086987,-0.3373378869803455,10,5,0.8483643165714875
2024-10-23,ILI incidence,2024-10-20,1,AT,MRC_GIDA,CATBoost,WIS,545.332289341203,-0.8736358607023832,10,7,0.7270888685456162
2024-10-23,ILI incidence,2024-10-20,1,AT,MRC_GIDA,NBEATS,WIS,1560.37480018061,-2.390320979412126,10,10,0.0
2024-10-23,ILI incidence,2024-10-20,1,AT,MRC_GIDA,NHiTS,WIS,1387.68861278294,-2.221112249030999,10,9,0.12369748386655803
2024-10-23,ILI incidence,2024-10-20,1,AT,MRC_GIDA,Prophet,WIS,731.07845733016,-1.296526520722003,10,8,0.5940363415060448
2024-10-23,ILI incidence,2024-10-20,1,AT,RIVM,KFdlm,WIS,356.703619015176,-0.2612261332298626,10,4,0.8622061715334454
2024-10-23,ILI incidence,2024-10-20,1,AT,respicast,hubEnsemble,WIS,507.738829458428,-0.7705868749336786,10,6,0.7540175793325937
2024-10-23,ILI incidence,2024-10-20,1,AT,respicast,quantileBaseline,WIS,297.625826086956,0.0,10,2,0.9045244046691486
2024-10-23,ILI incidence,2024-10-20,1,BE,ECDC,SARIMA,WIS,17.7260004376671,-0.11474376222259797,18,6,0.9003496531348151
2024-10-23,ILI incidence,2024-10-20,1,BE,ECDC,soca_simplex,WIS,97.1567753002521,-2.5691913149347663,18,18,0.0
2024-10-23,ILI incidence,2024-10-20,1,BE,ISI,FluABCaster,WIS,37.3845412401698,-1.1913185374956308,18,14,0.6775196426849597
2024-10-23,ILI incidence,2024-10-20,1,BE,ISI,FluBcast,WIS,15.3109775651105,0.09655689378796095,18,4,0.9277239927327935
2024-10-23,ILI incidence,2024-10-20,1,BE,ISI,RC_AdaptEns2,WIS,32.5605497704197,-0.9920017672751232,18,12,0.7321996965309492
2024-10-23,ILI incidence,2024-10-20,1,BE,ISI,SEIR_BRW,WIS,36.8923772159036,-1.1721994624566776,18,13,0.6830983331774055
2024-10-23,ILI incidence,2024-10-20,1,BE,ItaLuxColab,EpiEKF,WIS,24.2532888849209,-0.5670571064789497,18,11,0.826362689019675
2024-10-23,ILI incidence,2024-10-20,1,BE,ItaLuxColab,EpiNetEKF,WIS,20.3815821601158,-0.3161427560709408,18,8,0.8702485734611723
2024-10-23,ILI incidence,2024-10-20,1,BE,MRC_GIDA,CATBoost,WIS,20.6045711753077,-0.3318411465970148,18,9,0.8677209878644282
2024-10-23,ILI incidence,2024-10-20,1,BE,MRC_GIDA,NBEATS,WIS,13.7923685121372,0.24725306502024097,18,2,0.9449374611454747
2024-10-23,ILI incidence,2024-10-20,1,BE,MRC_GIDA,NHiTS,WIS,8.93463339568769,0.8736428526159624,18,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,BE,MRC_GIDA,Prophet,WIS,40.6087447825454,-1.310667142407115,18,15,0.6409732216531123
