origin_date,target,target_end_date,horizon,location,team_id,model_id,metric,value_absolute,value_relative,n_models,rank,rank_score
2024-10-23,ILI incidence,2024-10-20,1,CH,respicast,quantileBaseline,WIS,15.5092792146048,0.0,11,2,0.7355804181069793
2024-10-23,ILI incidence,2024-10-20,1,CH,safinea,syndromic,WIS,33.9600412911898,-1.1307065735726298,11,11,0.0
2024-10-23,ILI incidence,2024-10-20,1,CZ,ECDC,SARIMA,WIS,3.15976408966361,-0.5944843129524272,17,10,0.7593708933554498
2024-10-23,ILI incidence,2024-10-20,1,CZ,ECDC,soca_simplex,WIS,2.19261332404892,-0.06731887273363762,17,6,0.8428138328816772
2024-10-23,ILI incidence,2024-10-20,1,CZ,ISI,FluABCaster,WIS,3.19002128466279,-0.6082335132775851,17,11,0.7567603910611719
2024-10-23,ILI incidence,2024-10-20,1,CZ,ISI,FluBcast,WIS,4.83164920444863,-1.2071831766983838,17,15,0.6151255352502533
2024-10-23,ILI incidence,2024-10-20,1,CZ,ISI,RC_AdaptEns2,WIS,3.94078709324495,-0.9131512710967975,17,14,0.6919865127878456
2024-10-23,ILI incidence,2024-10-20,1,CZ,ItaLuxColab,EpiEKF,WIS,2.69731117377189,-0.3661894300825594,17,8,0.7992699784478913
2024-10-23,ILI incidence,2024-10-20,1,CZ,ItaLuxColab,EpiNetEKF,WIS,3.57136941582992,-0.7711448345561167,17,13,0.7238587895955573
2024-10-23,ILI incidence,2024-10-20,1,CZ,MRC_GIDA,CATBoost,WIS,1.30613273957533,0.6800310143308953,17,2,0.9192967851072189
2024-10-23,ILI incidence,2024-10-20,1,CZ,MRC_GIDA,NBEATS,WIS,1.7541698172357,0.25454411817990336,17,3,0.88064145637679
2024-10-23,ILI incidence,2024-10-20,1,CZ,MRC_GIDA,NHiTS,WIS,0.370736928805899,2.4968648036716132,17,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,CZ,MRC_GIDA,Prophet,WIS,3.44414935043386,-0.7188151676379894,17,12,0.7348349647698789
2024-10-23,ILI incidence,2024-10-20,1,CZ,QMUL,ARIMA,WIS,2.14773255112468,-0.03748181445648508,17,5,0.846686014711185
2024-10-23,ILI incidence,2024-10-20,1,CZ,RIVM,KFdlm,WIS,6.07171621408627,-1.5367718254266147,17,16,0.5081361803611033
2024-10-23,ILI incidence,2024-10-20,1,CZ,fjordhest,ensemble,WIS,2.8159,-0.42826356421108436,17,9,0.7890384813460416
2024-10-23,ILI incidence,2024-10-20,1,CZ,respicast,hubEnsemble,WIS,2.40566642262425,-0.20110407090229557,17,7,0.8244322346321038
2024-10-23,ILI incidence,2024-10-20,1,CZ,respicast,quantileBaseline,WIS,2.09265217391304,0.0,17,4,0.8514381885688271
2024-10-23,ILI incidence,2024-10-20,1,CZ,safinea,syndromic,WIS,11.961301344513,-2.5149699159600853,17,17,0.0
2024-10-23,ILI incidence,2024-10-20,1,DK,ECDC,SARIMA,WIS,8.21520847713508,0.00874040047431555,16,6,0.8980977513400624
2024-10-23,ILI incidence,2024-10-20,1,DK,ECDC,soca_simplex,WIS,14.8346995193429,-0.8438662124927876,16,11,0.7199582377835368
2024-10-23,ILI incidence,2024-10-20,1,DK,ISI,FluABCaster,WIS,4.42862004025102,0.9001803628874856,16,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,DK,ISI,RC_AdaptEns2,WIS,5.19864956492013,0.6689006792913489,16,4,0.9792774574247378
2024-10-23,ILI incidence,2024-10-20,1,DK,ItaLuxColab,EpiEKF,WIS,8.68897066301331,-0.0721476912641427,16,8,0.8853481660931466
2024-10-23,ILI incidence,2024-10-20,1,DK,ItaLuxColab,EpiNetEKF,WIS,4.91194790608385,0.7507423271365399,16,2,0.9869929892859168
2024-10-23,ILI incidence,2024-10-20,1,DK,MRC_GIDA,CATBoost,WIS,20.8953333332223,-1.3380712810033988,16,13,0.5568583328868287
2024-10-23,ILI incidence,2024-10-20,1,DK,MRC_GIDA,NBEATS,WIS,31.8814481196637,-1.9476076684727412,16,15,0.2612070310791782
2024-10-23,ILI incidence,2024-10-20,1,DK,MRC_GIDA,NHiTS,WIS,10.9607806839022,-0.4072410657528401,16,10,0.8242106663316835
2024-10-23,ILI incidence,2024-10-20,1,DK,MRC_GIDA,Prophet,WIS,41.5876473107919,-2.331045578935885,16,16,0.0
2024-10-23,ILI incidence,2024-10-20,1,DK,QMUL,ARIMA,WIS,4.96670033359541,0.734749883110462,16,3,0.9855195269395285
2024-10-23,ILI incidence,2024-10-20,1,DK,RIVM,KFdlm,WIS,16.5211729982018,-0.9992066288360673,16,12,0.6745729410538802
2024-10-23,ILI incidence,2024-10-20,1,DK,fjordhest,ensemble,WIS,7.42596521739131,0.1544590296054297,16,5,0.9193373616774801
2024-10-23,ILI incidence,2024-10-20,1,DK,respicast,hubEnsemble,WIS,8.79372987076332,-0.08943762861087105,16,9,0.8825289532276617
2024-10-23,ILI incidence,2024-10-20,1,DK,respicast,quantileBaseline,WIS,8.26513043478261,0.0,16,7,0.8967542835123372
2024-10-23,ILI incidence,2024-10-20,1,DK,safinea,syndromic,WIS,27.4003007634087,-1.7290822367638823,16,14,0.3818008056047989
2024-10-23,ILI incidence,2024-10-20,1,EE,ItaLuxColab,EpiEKF,WIS,44.0723475984043,-1.0425413741765686,6,3,0.6125357250632959
2024-10-23,ILI incidence,2024-10-20,1,EE,ItaLuxColab,EpiNetEKF,WIS,27.8974434014191,-0.3828005431504128,6,2,0.8889101143317293
2024-10-23,ILI incidence,2024-10-20,1,EE,RIVM,KFdlm,WIS,64.6261489931801,-1.5947856530264528,6,4,0.26134079751098205
2024-10-23,ILI incidence,2024-10-20,1,EE,respicast,hubEnsemble,WIS,68.3375047298876,-1.6753451978658955,6,5,0.19792628434919066
2024-10-23,ILI incidence,2024-10-20,1,EE,respicast,quantileBaseline,WIS,21.3958704347826,0.0,6,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,EE,safinea,syndromic,WIS,79.9212071702174,-1.9012460020752098,6,6,0.0
2024-10-23,ILI incidence,2024-10-20,1,FR,ECDC,SARIMA,WIS,11.7948776995445,0.28450669372565307,18,3,0.949785496587446
2024-10-23,ILI incidence,2024-10-20,1,FR,ECDC,soca_simplex,WIS,13.096096472371,0.1335302985786705,18,4,0.9200182739025463
2024-10-23,ILI incidence,2024-10-20,1,FR,ISI,FluABCaster,WIS,18.1276129865825,-0.33552181279276727,18,10,0.8049152061870802
2024-10-23,ILI incidence,2024-10-20,1,FR,ISI,FluBcast,WIS,29.6629330213651,-1.0459941029731168,18,15,0.541028419900495
2024-10-23,ILI incidence,2024-10-20,1,FR,ISI,RC_AdaptEns2,WIS,24.858823214364,-0.7910908494729813,18,11,0.6509292370529235
2024-10-23,ILI incidence,2024-10-20,1,FR,ISI,SEIR_BRW,WIS,26.7835893983797,-0.8986821630072377,18,14,0.6068974840437777
2024-10-23,ILI incidence,2024-10-20,1,FR,ItaLuxColab,EpiEKF,WIS,11.1856954044487,0.36101220293711184,18,2,0.9637214045319842
2024-10-23,ILI incidence,2024-10-20,1,FR,ItaLuxColab,EpiNetEKF,WIS,16.108834840529,-0.1651849938659859,18,8,0.8510976160015721
2024-10-23,ILI incidence,2024-10-20,1,FR,MRC_GIDA,CATBoost,WIS,9.59984408152003,0.5815842739403075,18,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,FR,MRC_GIDA,NBEATS,WIS,43.9313905251163,-1.6125850114710145,18,17,0.21461724235377877
2024-10-23,ILI incidence,2024-10-20,1,FR,MRC_GIDA,NHiTS,WIS,25.1462589744887,-0.8076766321501367,18,13,0.6443537368696225
2024-10-23,ILI incidence,2024-10-20,1,FR,MRC_GIDA,Prophet,WIS,25.0779170835377,-0.8037503728960251,18,12,0.6459171544356223
2024-10-23,ILI incidence,2024-10-20,1,FR,QMUL,ARIMA,WIS,15.2962619578459,-0.09051198252530121,18,7,0.8696863717524576
2024-10-23,ILI incidence,2024-10-20,1,FR,RIVM,KFdlm,WIS,33.7505119514497,-1.2322422329873055,18,16,0.44751926156762756
2024-10-23,ILI incidence,2024-10-20,1,FR,fjordhest,ensemble,WIS,17.1392,-0.25463261773456797,18,9,0.8275265534029963
2024-10-23,ILI incidence,2024-10-20,1,FR,respicast,hubEnsemble,WIS,13.3277886104285,0.10822972947256383,18,5,0.9147179880383047
2024-10-23,ILI incidence,2024-10-20,1,FR,respicast,quantileBaseline,WIS,14.3660869565217,0.0,18,6,0.8909654425578988
2024-10-23,ILI incidence,2024-10-20,1,FR,safinea,syndromic,WIS,53.312984087913,-1.891819783171281,18,18,0.0
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,ECDC,SARIMA,WIS,0.208252334439433,0.2250295229229404,8,3,0.6225853997399695
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,ECDC,soca_simplex,WIS,0.440806471342421,-0.8567832130846211,8,8,0.0
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,ISI,FluABCaster,WIS,0.371091684607381,-0.6084134828670307,8,6,0.18663786826259604
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,ISI,SEIR_BRW,WIS,0.0672767724447001,1.8551817906386345,8,1,1.0
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,ItaLuxColab,EpiEKF,WIS,0.223219614924651,0.12489838439721875,8,4,0.582515545778193
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,RIVM,KFdlm,WIS,0.440441392700562,-0.855587869078091,8,7,0.000977375140280329
2024-10-23,ILI incidence,2024-10-20,1,GB-ENG,respicast,hubEnsemble,WIS,0.15659633187344,0.6363117715298051,8,2,0.7608769538477924
