"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2024-11-27,1,2024-11-24,0.01,3236.84,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.025,3252.325,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.05,3265.5,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.1,3274.9,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.15,3290.55,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.2,3299.2,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.25,3314.75,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.3,3324.1,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.35,3334,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.4,3340.6,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.45,3346,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.5,3350.5,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.55,3358.9,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.6,3363.4,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.65,3381.4,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.7,3394,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.75,3404,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.8,3412.8,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.85,3418.15,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.9,3427.5,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.95,3444.35,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.975,3474.025,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.99,3484.08,"quantile","ILI incidence","AT"
2024-11-27,1,2024-11-24,0.01,238.98,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.025,245.375,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.05,248,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.1,249,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.15,250.85,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.2,253,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.25,255,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.3,257,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.35,258,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.4,260.6,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.45,264.1,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.5,266.5,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.55,268,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.6,271,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.65,271.35,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.7,274.3,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.75,277.25,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.8,280,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.85,282,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.9,291,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.95,295.1,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.975,300.525,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.99,304.01,"quantile","ILI incidence","BE"
2024-11-27,1,2024-11-24,0.01,4.99,"quantile","ILI incidence","HR"
