"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2024-11-06,1,2024-11-03,0.025,25,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.05,25,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.1,27.9,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.15,29.7,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.2,31,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.25,31.75,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.3,32.7,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.35,33,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.4,34,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.45,35,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.5,35.5,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.55,36,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.6,38,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.65,38.35,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.7,39,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.75,40,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.8,41,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.85,42.15,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.9,44,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.95,46.1,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.975,50.575,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.99,52,"quantile","ILI incidence","CZ"
2024-11-06,1,2024-11-03,0.01,175.92,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.025,179.475,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.05,182,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.1,188,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.15,193.7,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.2,197,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.25,199,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.3,200.7,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.35,202,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.4,205.6,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.45,208,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.5,210,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.55,210.9,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.6,212,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.65,214,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.7,216,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.75,219.25,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.8,221,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.85,223,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.9,225,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.95,226.1,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.975,234.2,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.99,239.05,"quantile","ILI incidence","DK"
2024-11-06,1,2024-11-03,0.01,341.9,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.025,346.475,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.05,348,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.1,351.9,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.15,357.85,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.2,361,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.25,362,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.3,366,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.35,368.65,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.4,369.6,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.45,371,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.5,373,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.55,375.45,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.6,378.4,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.65,380.35,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.7,385,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.75,387.5,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.8,391,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.85,394.15,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.9,400.1,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.95,406.05,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.975,416.05,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.99,418.08,"quantile","ILI incidence","EE"
2024-11-06,1,2024-11-03,0.01,242.89,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.025,253.375,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.05,261.8,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.1,264,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.15,265.85,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.2,267,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.25,268.75,"quantile","ILI incidence","FR"
2024-11-06,1,2024-11-03,0.3,272,"quantile","ILI incidence","FR"
